title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,=,7,t.production_year,<,1943,mi_idx.info_type_id,=,101#7,1,1,1,7,6,1,4,1,1,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,<,2013,ci.role_id,=,1,mi_idx.info_type_id,=,100#4710125,403404,6,124,4710125,1002086,403404,1,403404,403404,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,<,1915,mi_idx.info_type_id,=,101#22253,3852,1,28,22253,4989,3852,11,3852,3852,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,<,2012,mi_idx.info_type_id,>,101#29675,254,1,78,29675,23519,254,11,254,254,2
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,<,1995#10322212,131803,5,108,3436215,812474,131803,11,395564,131803,5
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,<,2012,ci.person_id,=,200377#39,13,2,12,13,1,13,1,39,13,3
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,=,7,t.production_year,=,2004,ci.role_id,<,2,mi_idx.info_type_id,=,99#50697,4879,1,1,50697,17688,4879,1,4879,4879,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,=,2004,ci.person_id,<,2607344#646868,11418,5,1,215472,137524,11418,11,34260,11418,5
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,>,1970,ci.person_id,>,809890,ci.role_id,>,1#20956181,370432,6,44,6980211,1384871,370432,10,1111472,370432,5
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,>,1,t.production_year,=,1973,ci.person_id,<,1044532,mi_idx.info_type_id,<,100#11557,1324,4,1,11557,4840,1324,10,1324,1324,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,=,2011#1047375,12001,5,1,348783,235402,12001,11,36009,12001,4
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,=,2012#1845997,17655,6,1,614500,254728,17655,11,52971,17655,4
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,>,1,t.production_year,=,1968,ci.role_id,>,2#35958,1249,3,1,11986,3059,1249,9,3747,1249,3
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,>,1,t.production_year,>,0,mi_idx.info_type_id,=,100#7351920,241702,5,77,7351920,999099,241702,11,241702,241702,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,>,1966,mi_idx.info_type_id,>,101#26544,183,1,45,26544,21197,183,11,183,183,2
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,=,1976,ci.person_id,<,999636,mi_idx.info_type_id,>,101#101,4,1,1,101,99,4,8,4,4,2
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,=,2012,mi_idx.info_type_id,<,100#614500,17655,6,1,614500,254728,17655,11,17655,17655,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,<,7,t.production_year,=,2012#931105,10191,5,1,309536,212506,10191,11,30579,10191,4
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,=,7,t.production_year,=,2012,mi_idx.info_type_id,=,101#304964,7464,1,1,304964,61158,7464,11,7464,7464,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,=,7,t.production_year,>,1955,mi_idx.info_type_id,<,100#4983355,139150,1,58,4983355,409602,139150,11,139150,139150,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.production_year,>,2007,mi_idx.info_type_id,=,100#3444342,100506,6,7,3444342,913870,100506,11,100506,100506,1
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,>,3,t.production_year,<,2008#11763687,129201,3,61,3921229,474273,129201,11,387603,129201,3
title t,cast_info ci,movie_info_idx mi_idx#t.id=ci.movie_id,t.id=mi_idx.movie_id#t.kind_id,>,2,t.production_year,=,2005,mi_idx.info_type_id,<,101#687986,10202,4,1,343993,116247,10202,11,20404,10202,2
